AdopcionProductoNuevo,FactorMarcaImportante,AntesCompraImportante,TiempoInvestigacionCompra,ProbarRestauranteNuevo,ReaccionOfertasTiempoLimitado,InfluenciaOpinionesOtros,ContenidoRedesSociales,MotivacionCompra,CuandoBuenaCompra,PostCompraConducta,FrecuenciaCambioMarca,EleccionVacaciones,ProductoNuevoSupermercado,RelacionTendenciaModa,nombre
D,D,D,D,C,D,C,B,D,D,D,A,C,B,D,Ana
A,A,C,D,A,B,A,A,C,A,A,C,A,C,A,Ana
D,C,B,D,C,C,C,C,C,A,B,C,A,C,C,Lucía
C,A,C,B,B,C,C,D,A,C,B,C,C,C,C,Pedro
A,D,A,C,A,C,A,C,C,C,C,B,A,A,D,Jorge
A,D,C,A,A,C,A,A,A,A,D,A,D,C,B,María
B,D,D,B,B,D,B,B,D,B,B,B,B,B,A,Luis
C,C,C,C,A,C,C,A,C,C,D,A,C,B,A,Luis
A,C,C,B,A,A,A,B,A,B,B,A,A,A,C,Pedro
D,D,B,D,D,D,A,B,D,D,B,D,A,B,A,Andrés
C,C,C,A,C,B,C,C,C,C,C,C,D,A,C,Carlos
C,C,A,B,C,D,A,C,C,D,A,B,C,A,C,Pedro
A,A,A,C,C,C,A,C,A,C,C,C,C,C,D,Jorge
A,A,C,C,C,C,C,C,A,C,C,C,B,C,A,Lucía
C,A,C,B,C,C,C,C,A,C,C,C,C,B,D,Diego
A,B,B,B,B,A,D,D,B,A,B,B,B,D,D,Diego
A,D,D,B,B,D,D,C,B,B,D,B,D,D,D,Andrés
B,B,D,B,D,C,D,C,B,B,B,B,B,C,B,Valeria
B,B,A,D,D,D,B,D,B,D,B,B,B,D,D,Carlos
A,D,A,B,A,C,B,D,B,B,B,B,B,B,D,José
C,B,C,C,A,C,C,C,A,B,C,C,C,A,A,María
B,D,B,C,B,B,B,B,D,B,A,B,D,B,B,Carlos
D,D,B,B,B,D,B,B,B,C,B,B,B,B,D,Luis
D,A,D,B,A,A,D,D,C,D,D,B,D,D,A,Pedro
A,C,A,C,C,C,A,C,C,A,D,C,D,C,C,Luis
D,A,C,A,A,A,A,A,A,D,B,A,A,B,A,José
C,B,C,B,B,B,C,B,D,B,D,B,B,D,D,Valeria
B,B,B,C,B,B,C,B,D,B,D,B,B,B,B,Sofía
A,C,A,C,C,C,C,C,A,A,D,C,C,C,C,Sofía
C,C,C,A,C,D,C,A,B,A,B,A,C,A,B,Jorge
C,A,C,C,D,C,C,A,A,A,C,A,A,C,C,María
